Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-06-12,2440.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-06-12,2021.0
"Cumulative number of probable Ebola deaths",Guinea,2015-06-12,419.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-12,10666.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-06-12,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-06-12,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-06-12,5636.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-06-12,4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-06-12,12932.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-06-12,8647.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-06-12,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-06-12,3998.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-06-12,3917.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-06-12,3551.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-06-12,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-06-12,158.0
"Cumulative number of confirmed Ebola cases",Italy,2015-06-12,1.0
"Cumulative number of probable Ebola cases",Italy,2015-06-12,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-06-12,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-06-12,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-06-12,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-06-12,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-06-12,7.0
"Cumulative number of probable Ebola cases",Mali,2015-06-12,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-06-12,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-06-12,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-06-12,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-06-12,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-06-12,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-06-12,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-06-12,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-06-12,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-06-12,1.0
"Cumulative number of probable Ebola cases",Spain,2015-06-12,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-06-12,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-06-12,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-06-12,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-06-12,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-06-12,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-06-12,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-06-12,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-06-12,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-06-12,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-06-12,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-06-12,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-06-12,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-06-12,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-06-12,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-06-12,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-06-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-06-12,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-15,3677.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-06-15,3249.0
"Cumulative number of probable Ebola cases",Guinea,2015-06-15,419.0
"Cumulative number of suspected Ebola cases",Guinea,2015-06-15,9.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-06-15,2443.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-06-15,2024.0
"Cumulative number of probable Ebola deaths",Guinea,2015-06-15,419.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-15,10666.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-06-15,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-06-15,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-06-15,5636.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-06-15,4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-06-15,12962.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-06-15,8649.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-06-15,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-06-15,4026.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-06-15,3919.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-06-15,3553.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-06-15,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-06-15,158.0
"Cumulative number of confirmed Ebola cases",Italy,2015-06-15,1.0
"Cumulative number of probable Ebola cases",Italy,2015-06-15,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-06-15,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-06-15,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-06-15,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-06-15,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-06-15,7.0
"Cumulative number of probable Ebola cases",Mali,2015-06-15,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-06-15,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-06-15,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-06-15,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-06-15,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-06-15,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-06-15,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-06-15,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-06-15,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-06-15,1.0
"Cumulative number of probable Ebola cases",Spain,2015-06-15,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-06-15,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-06-15,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-06-15,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-06-15,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-06-15,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-06-15,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-06-15,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-06-15,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-06-15,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-06-15,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-06-15,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-06-15,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-06-15,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-06-15,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-06-15,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-06-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-06-15,1.0
"Cumulative number of confirmed Ebola cases",Italy,2015-06-16,1.0
"Cumulative number of probable Ebola cases",Italy,2015-06-16,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-06-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-06-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-16,3678.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-06-16,3249.0
"Cumulative number of probable Ebola cases",Guinea,2015-06-16,419.0
"Cumulative number of suspected Ebola cases",Guinea,2015-06-16,10.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-06-16,2444.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-06-16,2025.0
"Cumulative number of probable Ebola deaths",Guinea,2015-06-16,419.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-16,10666.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-06-16,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-06-16,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-06-16,5636.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-06-16,4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-06-16,12965.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-06-16,8649.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-06-16,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-06-16,4029.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-06-16,3919.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-06-16,3553.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-06-16,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-06-16,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-06-16,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-06-16,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-06-16,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-06-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-06-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-06-16,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-06-16,7.0
"Cumulative number of probable Ebola cases",Mali,2015-06-16,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-06-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-06-16,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-06-16,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-06-16,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-06-16,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-06-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-06-16,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-06-16,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-06-16,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-06-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-06-16,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-06-16,1.0
"Cumulative number of probable Ebola cases",Spain,2015-06-16,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-06-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-06-16,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-06-16,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-06-16,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-06-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-06-16,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-06-16,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-06-16,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-06-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-06-16,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-06-16,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-06-16,0.0
